,train,source,dest,dist
2116,ADI UDZ EXPRESS,AHMEDABAD MG   ,UDAIPUR CITY   ,298
2117,ARANYAK EXPRESS,BHOJUDIH JN    ,SHALIMAR       ,311
2118,TATA BSP PASS  ,TATANAGAR JN   ,BILASPUR JN    ,471
2119,VISAKAPATNAM EX,CHENNAI CENTRAL,VISAKHAPATNAM  ,781
2120,BPL JAIPUR EXP ,BHOPAL  JN     ,JAIPUR         ,790
2121,LDH NDLS SHTBDI,LUDHIANA JN    ,NEW DELHI      ,329
2122,UJJAINI EXPRESS,UJJAIN JN      ,DEHRADUN       ,1245
2123,CNB JAT EXPRESS,KANPUR CENTRAL ,JAMMU TAWI     ,1026
2124,KOTA JAIPUR PAS,KOTA JN        ,JAIPUR         ,240
2125,BL JODHPUR EXP ,VALSAD         ,JODHPUR JN     ,753
2126,ERS BILASPUR EX,ERNAKULAM JN   ,BILASPUR JN    ,2155
2127,GHY TVC EXPRESS,GUWAHATI       ,TRIVANDRUM CNTL,3552
2128,LKO  LTT AC SPL,LUCKNOW NR     ,LOKMANYATILAK T,1412
2129,SMET SBC EXP   ,SHIMOGA TOWN   ,BANGALORE CY JN,274
2130,MS SALEM EXP   ,CHENNAI EGMORE ,SALEM JN       ,353
2131,HWH MYS EXPRESS,HOWRAH JN      ,MYSORE JN      ,2093
2132,REWA INDB EXP  ,REWA           ,INDORE JN BG   ,812
2133,AMRITSAR EXPRES,MUMBAI CST     ,AMRITSAR JN    ,2046
2134,BARKA RJPB EXP ,BARKA KANA     ,RAJENDRANAGAR T,365
2135,BDTS DEE EXPRES,BANDRA TERMINUS,DELHI S ROHILLA,1345
2136,U P SMPRK KRNTI,H NIZAMUDDIN   ,MANIKPUR JN    ,695
2137,RGDA BZA PASS  ,RAYAGADA       ,VIJAYAWADA JN  ,536
2138,KOCHUVELI EXP  ,PORBANDAR      ,KOCHUVELI      ,2720
2139,ASR KOAA SUP EX,AMRITSAR JN    ,KOLKATA        ,1812
2140,GOUR EXP       ,BALURGHAT      ,SEALDAH        ,454
2141,TRIVANDRUM MAIL,CHENNAI CENTRAL,TRIVANDRUM CNTL,922
2142,BDTS JHANSI EXP,BANDRA TERMINUS,JHANSI JN      ,1318
2143,JANASEWA EXPRES,BHAGALPUR      ,MUZAFFARPUR JN ,240
2144,BGP DNR SPECIAL,BHAGALPUR      ,DANAPUR        ,231
2145,ANANTAPURI EXP ,TRIVANDRUM CNTL,CHENNAI EGMORE ,798
2146,SHM TVC SF EXP ,SHALIMAR       ,TRIVANDRUM CNTL,2566
2147,SECUNDRABAD EXP,HUBLI JN       ,SECUNDERABAD JN,661
2148,DHAULI EXP     ,PURI           ,HOWRAH JN      ,502
2149,PUNE HYB EXPRES,PUNE JN        ,HYDERABAD DECAN,649
2150,INDORE BHIND EX,INDORE JN BG   ,BHIND          ,644
2151,FKA DLI EXP    ,FAZILKA        ,DELHI          ,522
2152,TPTY BBS  EXP  ,TIRUPATI       ,BHUBANESWAR    ,1179
2153,CAPE HOWRAH EXP,KANYAKUMARI    ,HOWRAH JN      ,2431
2154,VSKP  KRDL  PAS,VISAKHAPATNAM  ,KIRANDUL       ,472
2155,GHY SC EXPRESS ,GUWAHATI       ,SECUNDERABAD JN,2551
2156,KRMR TPTY   EXP,KARIMNAGAR     ,TIRUPATI       ,714
2157,NZM KOP EXP    ,H NIZAMUDDIN   ,C SHAHUMHARAJ T,1915
2158,BDTS PATNA EXP ,BANDRA TERMINUS,PATNA JN       ,1845
2159,LTT BSB SUP EXP,LOKMANYATILAK T,VARANASI JN    ,1472
2160,BCT DOUBLEDECKE,AHMEDABAD JN   ,MUMBAI CENTRAL ,491
2161,BSB KURJ LINK E,VARANASI JN    ,KHAJURAHO      ,453
2162,MUSSOORIE EXP  ,KOTDWARA       ,DELHI S ROHILLA,243
2163,DEHRADUN EXPRES,MEERUT CITY    ,MANDASOR       ,804
2164,YPR JBP EXP    ,YESVANTPUR JN  ,JABALPUR       ,1736
2165,MTP UAM PASSR  ,METUPALAIYAM   ,UDAGAMANDALAM  ,46
2166,RMR BSB EXPRESS,RAMNAGAR       ,VARANASI JN    ,705
2167,PNBE PUNE EXP  ,PATNA JN       ,PUNE JN        ,1780
2168,SLN LTT SF     ,SULTANPUR      ,LOKMANYATILAK T,1551
2169,HBJ DHD FAST PA,HABIBGANJ      ,DAHOD          ,400
2170,ASHRAM EXPRESS ,DELHI          ,AHMEDABAD JN   ,933
2171,BDTS BVC EXP   ,BANDRA TERMINUS,BHAVNAGAR TRMUS,778
2172,DBRG CDG EXPRES,DIBRUGARH      ,CHANDIGARH     ,2661
2173,BDTS JSM EXP   ,BANDRA TERMINUS,JAISALMER      ,1229
2174,AMBIKAPUR EXPRE,JABALPUR       ,AMBIKAPUR      ,433
2175,UMB INTERCITY  ,SHRI GANGANAGAR,AMBALA CANT JN ,328
2176,PAU TTKL FARE S,C SHAHUMHARAJ T,PURNA JN       ,578
2177,TAJ EXPRESS    ,H NIZAMUDDIN   ,JHANSI JN      ,403
2178,SMNH OKHA EXP  ,SOMNATH        ,OKHA           ,442
2179,BKN SC EXP     ,BIKANER JN     ,SECUNDERABAD JN,2113
2180,HWH PURI EXPRES,HOWRAH JN      ,PURI           ,502
2181,BRINDAVAN EXP  ,BANGALORE CY JN,CHENNAI CENTRAL,362
2182,PANCHAVTI EXP  ,MANMAD JN      ,MUMBAI CST     ,261
2183,CHATTISGARH EXP,BILASPUR JN    ,AMRITSAR JN    ,2008
2184,BHUJ AC S F EXP,BANDRA TERMINUS,BHUJ           ,839
2185,HOWRAH DURONTO ,MUMBAI CST     ,HOWRAH JN      ,1968
2186,SANTINIKATANEXP,HOWRAH JN      ,BOLPUR S NIKTN ,146
